city,confirmed,cured,dead,provinceAbbreviation,provinceName,suspected
武汉,698,42,63,湖北,湖北省,0
黄冈,154,2,4,湖北,湖北省,0
孝感,100,0,1,湖北,湖北省,0
荆门,90,0,3,湖北,湖北省,0
咸宁,64,0,0,湖北,湖北省,0
随州,52,0,0,湖北,湖北省,0
荆州,47,1,2,湖北,湖北省,0
十堰,40,0,0,湖北,湖北省,0
黄石,36,0,1,湖北,湖北省,0
襄阳,36,0,0,湖北,湖北省,0
宜昌,31,0,1,湖北,湖北省,0
恩施州,25,0,0,湖北,湖北省,0
鄂州,20,0,0,湖北,湖北省,0
天门,13,0,0,湖北,湖北省,0
仙桃,12,0,0,湖北,湖北省,0
潜江,5,0,1,湖北,湖北省,0
广州,39,0,0,广东,广东省,0
深圳,36,2,0,广东,广东省,0
佛山,14,0,0,广东,广东省,0
珠海,12,0,0,广东,广东省,0
惠州,8,0,0,广东,广东省,0
阳江,8,0,0,广东,广东省,0
湛江,5,0,0,广东,广东省,0
肇庆,4,0,0,广东,广东省,0
韶关,4,0,0,广东,广东省,0
中山,4,0,0,广东,广东省,0
清远,3,0,0,广东,广东省,0
揭阳,3,0,0,广东,广东省,0
东莞,2,0,0,广东,广东省,0
汕头,2,0,0,广东,广东省,0
梅州,1,0,0,广东,广东省,0
汕尾,1,0,0,广东,广东省,0
温州,32,1,0,浙江,浙江省,0
杭州,27,0,0,浙江,浙江省,0
台州,22,0,0,浙江,浙江省,0
宁波,13,0,0,浙江,浙江省,0
嘉兴,8,0,0,浙江,浙江省,0
绍兴,6,0,0,浙江,浙江省,0
金华,5,0,0,浙江,浙江省,0
衢州,5,0,0,浙江,浙江省,0
舟山,4,0,0,浙江,浙江省,0
丽水,3,0,0,浙江,浙江省,0
湖州,3,0,0,浙江,浙江省,0
郑州,29,0,0,河南,河南省,0
信阳,23,0,0,河南,河南省,0
南阳,19,0,1,河南,河南省,0
周口,11,0,0,河南,河南省,0
驻马店,9,0,0,河南,河南省,0
安阳市,7,0,0,河南,河南省,0
漯河,6,0,0,河南,河南省,0
商丘,6,0,0,河南,河南省,0
平顶山,5,0,0,河南,河南省,0
新乡,4,0,0,河南,河南省,0
三门峡,3,0,0,河南,河南省,0
洛阳,2,0,0,河南,河南省,0
鹤壁,2,0,0,河南,河南省,0
开封,1,0,0,河南,河南省,0
许昌,1,0,0,河南,河南省,0
万州区,14,0,0,重庆,重庆市,0
云阳县,8,0,0,重庆,重庆市,0
开州区,7,0,0,重庆,重庆市,0
两江新区,7,0,0,重庆,重庆市,0
长寿区,6,0,0,重庆,重庆市,0
忠县,6,0,0,重庆,重庆市,0
大渡口区,6,0,0,重庆,重庆市,0
渝北区,5,0,0,重庆,重庆市,0
巫山县,5,0,0,重庆,重庆市,0
巫溪县,5,0,0,重庆,重庆市,0
九龙坡区,4,0,0,重庆,重庆市,0
垫江县,4,0,0,重庆,重庆市,0
永川区,3,0,0,重庆,重庆市,0
奉节县,3,0,0,重庆,重庆市,0
石柱县,3,0,0,重庆,重庆市,0
江北区,3,0,0,重庆,重庆市,0
合川区,3,0,0,重庆,重庆市,0
璧山区,3,0,0,重庆,重庆市,0
丰都县,3,0,0,重庆,重庆市,0
江津区,2,0,0,重庆,重庆市,0
潼南区,2,0,0,重庆,重庆市,0
铜梁区,1,0,0,重庆,重庆市,0
大足区,1,0,0,重庆,重庆市,0
涪陵区,1,0,0,重庆,重庆市,0
秀山县,1,0,0,重庆,重庆市,0
梁平区,1,0,0,重庆,重庆市,0
城口县,1,0,0,重庆,重庆市,0
巴南区,1,0,0,重庆,重庆市,0
綦江区,1,0,0,重庆,重庆市,0
长沙,22,0,0,湖南,湖南省,0
常德,12,0,0,湖南,湖南省,0
怀化,11,0,0,湖南,湖南省,0
邵阳,8,0,0,湖南,湖南省,0
岳阳,7,0,0,湖南,湖南省,0
娄底,7,0,0,湖南,湖南省,0
益阳,7,0,0,湖南,湖南省,0
郴州,6,0,0,湖南,湖南省,0
株洲,5,0,0,湖南,湖南省,0
永州,4,0,0,湖南,湖南省,0
湘潭,4,0,0,湖南,湖南省,0
衡阳,4,0,0,湖南,湖南省,0
